,Timestamp,Paris Temperature,Paris Relative Humidity,Paris Mean Sea Level Pressure
102,20200917T0600,17.426376,83.0,1022.8
103,20200917T0700,17.026377,87.0,1022.8
104,20200917T0800,16.556376,88.0,1023.3
105,20200917T0900,16.466375,83.0,1023.4
106,20200917T1000,18.066376,72.0,1023.6
107,20200917T1100,20.056376,63.0,1024.0
108,20200917T1200,22.036377,55.0,1023.7
109,20200917T1300,23.956377,48.0,1023.0
110,20200917T1400,25.556376,41.0,1022.4
111,20200917T1500,26.376377,36.0,1021.7
112,20200917T1600,26.656376,32.0,1021.3
113,20200917T1700,26.496376,30.0,1020.8
114,20200917T1800,25.936377,31.0,1020.2
115,20200917T1900,25.206377,31.0,1019.9
116,20200917T2000,23.746376,33.0,1020.2
117,20200917T2100,21.986376,35.0,1021.1
118,20200917T2200,20.456377,38.0,1021.4
119,20200917T2300,19.166376,42.0,1021.3
120,20200918T0000,18.156376,46.0,1021.5
121,20200918T0100,17.266376,51.0,1021.3
122,20200918T0200,16.486376,56.0,1021.1
123,20200918T0300,15.896377,58.0,1020.6
124,20200918T0400,15.116376,61.0,1020.1
125,20200918T0500,14.276376,64.0,1019.9
126,20200918T0600,13.596376,68.0,1018.7
127,20200918T0700,13.096376,71.0,1018.9
128,20200918T0800,12.906376,74.0,1019.5
129,20200918T0900,13.986376,73.0,1019.3
130,20200918T1000,15.836376,68.0,1019.4
131,20200918T1100,18.326376,61.0,1018.6
132,20200918T1200,21.306376,54.0,1018.1
133,20200918T1300,24.096376,48.0,1018.0
134,20200918T1400,26.386375,43.0,1016.8
135,20200918T1500,27.686377,39.0,1016.2
136,20200918T1600,28.336376,38.0,1015.3
137,20200918T1700,28.686377,37.0,1015.0
138,20200918T1800,28.676376,38.0,1014.3
139,20200918T1900,28.436377,39.0,1014.2
140,20200918T2000,27.146376,43.0,1013.3
141,20200918T2100,25.926376,45.0,1013.3
142,20200918T2200,24.856377,48.0,1013.8
143,20200918T2300,23.876377,51.0,1013.0
144,20200919T0000,23.176376,54.0,1012.9
145,20200919T0100,22.726376,56.0,1013.1
146,20200919T0200,22.236376,58.0,1013.5
147,20200919T0300,21.416376,60.0,1013.3
148,20200919T0400,21.546375,60.0,1013.4
149,20200919T0500,21.646376,60.0,1013.5
150,20200919T0600,20.956377,63.0,1013.4
151,20200919T0700,20.056376,69.0,1014.1
152,20200919T0800,20.196377,72.0,1014.6
153,20200919T0900,20.586376,73.0,1014.0
154,20200919T1000,22.956377,64.0,1013.9
155,20200919T1100,24.646376,57.0,1014.1
156,20200919T1200,26.156376,52.0,1013.8
157,20200919T1300,27.066376,49.0,1013.0
158,20200919T1400,27.376377,46.0,1013.3
159,20200919T1500,28.276377,42.0,1012.7
160,20200919T1600,28.516376,40.0,1011.9
161,20200919T1700,28.736376,39.0,1011.9
162,20200919T1800,28.756376,37.0,1011.4
163,20200919T1900,28.516376,37.0,1011.6
164,20200919T2000,27.756376,39.0,1011.5
165,20200919T2100,26.676376,44.0,1012.0
166,20200919T2200,25.746376,50.0,1012.7
167,20200919T2300,23.956377,60.0,1012.9
168,20200920T0000,22.416376,69.0,1013.4
169,20200920T0100,21.446377,75.0,1013.7
170,20200920T0200,20.266376,81.0,1013.5
171,20200920T0300,19.576376,83.0,1014.0
172,20200920T0400,19.036377,83.0,1013.6
173,20200920T0500,18.506376,83.0,1013.5
174,20200920T0600,18.066376,82.0,1013.5
175,20200920T0700,17.726376,84.0,1013.4
176,20200920T0800,17.616377,85.0,1013.9
177,20200920T0900,18.506376,82.0,1014.0
178,20200920T1000,20.066376,77.0,1014.5
179,20200920T1100,21.616377,72.0,1013.9
180,20200920T1200,23.286377,65.0,1013.8
181,20200920T1300,24.996376,58.0,1013.7
182,20200920T1400,26.516376,52.0,1013.5
183,20200920T1500,27.486376,47.0,1013.3
184,20200920T1600,28.026377,44.0,1013.2
185,20200920T1700,27.536377,45.0,1013.7
186,20200920T1800,26.766376,48.0,1014.0
187,20200920T1900,26.226376,49.0,1014.3
188,20200920T2000,25.566376,52.0,1014.2
189,20200920T2100,25.176376,53.0,1014.6
190,20200920T2200,24.706377,54.0,1015.2
191,20200920T2300,23.316376,57.0,1015.4
